cst_id,cst_key,cst_firstname,cst_lastname,cst_marital_status,cst_gndr,cst_create_date,dwh_create_date
11121,AW00011121,Orlando,Suarez,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11122,AW00011122,Byron,Vazquez,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11123,AW00011123,Philip,Alvarez,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11124,AW00011124,Ross,Jordan,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11125,AW00011125,Dana,Navarro,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11126,AW00011126,Shaun,Carson,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11127,AW00011127,Jan,Edwards,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11128,AW00011128,Samantha,Long,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11129,AW00011129,Julia,Wright,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11130,AW00011130,Caroline,Russell,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11131,AW00011131,Amanda,Rivera,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11132,AW00011132,Melissa,Richardson,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11133,AW00011133,Angela,Griffin,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11134,AW00011134,Larry,Townsend,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11135,AW00011135,Marcus,Harris,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11136,AW00011136,Brianna,Morgan,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11137,AW00011137,Jasmine,Taylor,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11138,AW00011138,Lauren,Davis,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11139,AW00011139,Tanya,Moreno,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11140,AW00011140,Javier,Alvarez,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11141,AW00011141,Nicole,Ramirez,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11142,AW00011142,Eduardo,Patterson,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11143,AW00011143,Jonathan,Henderson,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11144,AW00011144,Edward,Hernandez,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11145,AW00011145,Jasmine,Coleman,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11146,AW00011146,Karla,Goel,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11147,AW00011147,Ernest,Wu,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11148,AW00011148,Ross,Vazquez,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11149,AW00011149,Theodore,Gill,Married,Male,2025-10-07,2024-12-30 14:06:36.9300000
11150,AW00011150,Russell,Shen,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11151,AW00011151,Melinda,Gill,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11152,AW00011152,James,Williams,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11153,AW00011153,Angela,James,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11154,AW00011154,Megan,Walker,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11155,AW00011155,Hunter,Robinson,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11156,AW00011156,Maria,Roberts,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11157,AW00011157,Hannah,Long,Married,Female,2025-10-07,2024-12-30 14:06:36.9300000
11158,AW00011158,Jason,Wright,Single,Male,2025-10-07,2024-12-30 14:06:36.9300000
11159,AW00011159,Brianna,Hughes,Single,Female,2025-10-07,2024-12-30 14:06:36.9300000
11160,AW00011160,Maurice,Tang,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11161,AW00011161,Emily,Wood,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11162,AW00011162,Chase,Cox,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11163,AW00011163,Gabriel,Wang,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11164,AW00011164,Devin,Brooks,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11165,AW00011165,Jocelyn,Alexander,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11166,AW00011166,Ashley,Martinez,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11167,AW00011167,Jasmine,Barnes,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11168,AW00011168,David,Rodriguez,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11169,AW00011169,Bryce,Richardson,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11170,AW00011170,Carol,Howard,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11171,AW00011171,Jonathan,Hill,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11172,AW00011172,Gabrielle,Adams,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11173,AW00011173,Sarah,Thomas,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11174,AW00011174,Nicholas,Robinson,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11175,AW00011175,Luis,Wang,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11176,AW00011176,Mason,Roberts,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11177,AW00011177,Jose,Flores,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11178,AW00011178,Nathan,Johnson,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11179,AW00011179,Molly,Rodriguez,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11180,AW00011180,April,Anand,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11181,AW00011181,Devin,Martin,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11182,AW00011182,Stephanie,Torres,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11183,AW00011183,Jasmine,Lee,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11184,AW00011184,Meghan,Hernandez,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11185,AW00011185,Ashley,Henderson,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11186,AW00011186,Sarah,Price,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11187,AW00011187,Jennifer,Cooper,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11188,AW00011188,Catherine,Morris,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11189,AW00011189,Lawrence,Blanco,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11190,AW00011190,Carson,Bryant,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11191,AW00011191,Kristi,Perez,Single,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11192,AW00011192,James,Brown,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11193,AW00011193,Ian,Gray,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11194,AW00011194,Jacqueline,Price,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11195,AW00011195,Megan,Henderson,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11196,AW00011196,Alfredo,Romero,Married,n/a,2025-10-07,2024-12-30 14:06:36.9300000
11197,AW00011197,Andrea,Morris,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11198,AW00011198,Brooke,Sanders,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11199,AW00011199,Jacqueline,Bennett,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11200,AW00011200,Jason,Griffin,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11201,AW00011201,Amanda,Foster,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11202,AW00011202,Alexia,Price,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11203,AW00011203,Luis,Diaz,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11204,AW00011204,Destiny,Rivera,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11205,AW00011205,Abby,Fernandez,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11206,AW00011206,Blake,Flores,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11207,AW00011207,Danielle,Cox,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11208,AW00011208,Maria,Reed,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11209,AW00011209,Allison,Evans,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11210,AW00011210,Edward,Wood,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11211,AW00011211,Samantha,Russell,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11212,AW00011212,Chloe,Campbell,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11213,AW00011213,Stephanie,Murphy,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11214,AW00011214,Charles,Miller,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11215,AW00011215,Ana,Perry,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11216,AW00011216,Jasmine,Torres,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11217,AW00011217,Natalie,Adams,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11218,AW00011218,Olivia,Brown,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11219,AW00011219,Charles,Cook,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11220,AW00011220,Erica,Huang,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11221,AW00011221,Nathan,Perry,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11222,AW00011222,Alexandra,Rivera,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11223,AW00011223,Hailey,Patterson,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11224,AW00011224,Tiffany,Li,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11225,AW00011225,Madison,Lee,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11226,AW00011226,Sydney,Ross,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11227,AW00011227,Marshall,Chavez,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11228,AW00011228,Ashley,Jones,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11229,AW00011229,Adrian,Stewart,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11230,AW00011230,Amber,Turner,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11231,AW00011231,Dennis,Zhang,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11232,AW00011232,Hailey,Bryant,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11233,AW00011233,Todd,Li,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11234,AW00011234,Anna,Griffin,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11235,AW00011235,Angel,Stewart,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11236,AW00011236,Jeremy,Butler,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11237,AW00011237,Clarence,Anand,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11238,AW00011238,Mayra,Prasad,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11239,AW00011239,Latoya,Goel,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11240,AW00011240,Anne,Hernandez,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11241,AW00011241,Lisa,Cai,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11242,AW00011242,Larry,Munoz,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11243,AW00011243,Robin,Alvarez,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11244,AW00011244,Alexis,Coleman,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11245,AW00011245,Ricky,Vazquez,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11246,AW00011246,Latasha,Rubio,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11247,AW00011247,Claudia,Zhou,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11248,AW00011248,Tristan,Alexander,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11249,AW00011249,Cindy,Patel,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11250,AW00011250,Shannon,Liu,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11251,AW00011251,Xavier,Long,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11252,AW00011252,Nicholas,Thompson,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11253,AW00011253,Jos├®,Hernandez,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11254,AW00011254,Johnathan,Vance,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11255,AW00011255,Colin,Lin,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11256,AW00011256,Katelyn,Hernandez,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11257,AW00011257,Jacqueline,Powell,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11258,AW00011258,Xavier,Hill,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11259,AW00011259,Victoria,Stewart,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11260,AW00011260,Katelyn,Kelly,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11261,AW00011261,Stephanie,Collins,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11262,AW00011262,Jennifer,Simmons,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11263,AW00011263,Trinity,Richardson,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11264,AW00011264,Eduardo,Martin,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11265,AW00011265,Elizabeth,Jones,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11266,AW00011266,Taylor,Howard,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11267,AW00011267,David,Diaz,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11268,AW00011268,Katelyn,Carter,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11269,AW00011269,Ryan,Foster,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11270,AW00011270,Robert,Lee,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11271,AW00011271,Danielle,Reed,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11272,AW00011272,Lauren,Martinez,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11273,AW00011273,Nathan,Lal,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11274,AW00011274,Kyle,Foster,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11275,AW00011275,Jenny,Rai,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11276,AW00011276,Nancy,Chapman,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11277,AW00011277,Charles,Jackson,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11278,AW00011278,Jonathan,Phillips,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11279,AW00011279,Amanda,Cook,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11280,AW00011280,Robert,Collins,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11281,AW00011281,Megan,Barnes,Single,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11282,AW00011282,Christian,Thomas,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
11283,AW00011283,Arturo,Lal,Married,n/a,2025-10-08,2024-12-30 14:06:36.9300000
